Market,Time Zone,Open,Close,Sat Open,Sat Close,Year,Month,NDay,Day,Hour,Order Management Interactions,Order Management HT (hr),Orders,Analog,Digital,Occur Int,Occur Ord
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,5,Friday,04:00:00.000,2,0.04944444444,1,1,0,1,1
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,5,Friday,05:00:00.000,71,12.130614864,10,9,1,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,5,Friday,06:00:00.000,81,19.787735403,38,27,11,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,5,Friday,07:00:00.000,145,39.871284781,23,17,6,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,5,Friday,08:00:00.000,214,46.790105311,62,49,13,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,5,Friday,09:00:00.000,192,40.711183008,80,60,20,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,5,Friday,10:00:00.000,255,71.223120967,74,57,17,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,5,Friday,11:00:00.000,212,54.418941011,57,38,19,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,5,Friday,12:00:00.000,198,46.578398339,115,57,58,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,5,Friday,13:00:00.000,180,49.991291106,69,51,18,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,5,Friday,14:00:00.000,155,37.006620103,102,69,33,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,5,Friday,15:00:00.000,120,30.786665961,46,28,18,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,5,Friday,16:00:00.000,38,6.798617669,17,12,5,4,4
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,5,Friday,17:00:00.000,2,0.04138888889,2,0,2,1,2
SOUTH CA,PACIFIC,05:00:00.000,17:00:00.000,05:00:00.000,14:00:00.000,2025,9,5,Friday,18:00:00.000,,,2,1,1,,2
