Market,Year,Month,Media Type,Handle Time (seconds),Interactions
FOLEY,2026,4,voice,234791,1704
FOLEY,2026,5,callback,121,11
FOLEY,2026,5,voice,183882,1474
HOUSTON,2025,6,callback,13,2
HOUSTON,2025,6,message,336783,854
HOUSTON,2025,6,voice,2020152,10597
HOUSTON,2025,7,callback,43,1
HOUSTON,2025,7,email,15,1
HOUSTON,2025,7,message,358548,853
HOUSTON,2025,7,voice,2119860,11131
HOUSTON,2025,8,callback,22,3
HOUSTON,2025,8,message,356997,783
HOUSTON,2025,8,voice,1945948,11171
HOUSTON,2025,9,email,29,3
HOUSTON,2025,9,message,177255,467
HOUSTON,2025,9,voice,1754282,10916
HOUSTON,2025,10,callback,1024,11
HOUSTON,2025,10,email,1311,12
HOUSTON,2025,10,message,154120,391
HOUSTON,2025,10,voice,1715574,10549
HOUSTON,2025,11,email,1296,15
HOUSTON,2025,11,message,123876,346
HOUSTON,2025,11,voice,1643822,8965
HOUSTON,2025,12,email,1128,6
HOUSTON,2025,12,message,138660,381
HOUSTON,2025,12,voice,1557427,9355
HOUSTON,2026,1,email,1110,9
HOUSTON,2026,1,message,163293,442
HOUSTON,2026,1,voice,1614324,9485
HOUSTON,2026,2,email,312,10
HOUSTON,2026,2,message,146152,484
HOUSTON,2026,2,voice,1756572,10608
HOUSTON,2026,3,email,214,2
HOUSTON,2026,3,message,170437,598
HOUSTON,2026,3,voice,1734000,10965
HOUSTON,2026,4,email,307,6
HOUSTON,2026,4,message,149164,579
HOUSTON,2026,4,voice,1399008,8869
HOUSTON,2026,5,email,1404,5
HOUSTON,2026,5,message,115910,474
HOUSTON,2026,5,voice,1061948,6338
JUPITER,2025,6,callback,9636,45
JUPITER,2025,6,email,171380,1296
JUPITER,2025,6,message,185721,584
ATLANTA,2025,6,callback,15,2
ATLANTA,2025,6,email,16969,461
ATLANTA,2025,6,message,76,8
ATLANTA,2025,6,voice,1074795,8158
ATLANTA,2025,7,callback,36,5
ATLANTA,2025,7,email,18848,511
ATLANTA,2025,7,voice,1152613,9032
ATLANTA,2025,8,callback,30,2
ATLANTA,2025,8,email,16938,436
ATLANTA,2025,8,voice,954388,7957
ATLANTA,2025,9,callback,6,1
ATLANTA,2025,9,email,13594,557
ATLANTA,2025,9,voice,1000595,8079
ATLANTA,2025,10,callback,17,2
ATLANTA,2025,10,email,16898,656
ATLANTA,2025,10,voice,959126,7584
ATLANTA,2025,11,callback,15,2
ATLANTA,2025,11,email,13245,415
ATLANTA,2025,11,voice,850183,6512
ATLANTA,2025,12,callback,39,3
ATLANTA,2025,12,email,8669,330
ATLANTA,2025,12,voice,822769,6105
ATLANTA,2026,1,callback,6,1
ATLANTA,2026,1,email,14007,395
ATLANTA,2026,1,voice,839188,6206
ATLANTA,2026,2,email,21411,538
ATLANTA,2026,2,voice,1039484,7669
ATLANTA,2026,3,callback,9,1
ATLANTA,2026,3,email,19549,522
ATLANTA,2026,3,voice,1118037,8394
ATLANTA,2026,4,email,22469,609
ATLANTA,2026,4,voice,1055579,7791
ATLANTA,2026,5,email,16535,564
ATLANTA,2026,5,voice,814583,5814
CANTONMENT,2025,6,callback,144,26
CANTONMENT,2025,6,voice,402417,3436
CANTONMENT,2025,7,callback,156,23
CANTONMENT,2025,7,voice,338288,3297
CANTONMENT,2025,8,callback,103,16
CANTONMENT,2025,8,voice,323438,2999
CANTONMENT,2025,9,callback,80,14
CANTONMENT,2025,9,voice,336887,2944
CANTONMENT,2025,10,callback,116,25
CANTONMENT,2025,10,voice,369400,3197
CANTONMENT,2025,11,callback,68,13
CANTONMENT,2025,11,voice,282685,2423
CANTONMENT,2025,12,callback,85,18
CANTONMENT,2025,12,voice,299351,2431
CANTONMENT,2026,1,callback,152,31
CANTONMENT,2026,1,voice,346384,2759
CANTONMENT,2026,2,callback,259,38
CANTONMENT,2026,2,voice,366504,2866
CANTONMENT,2026,3,callback,300,72
CANTONMENT,2026,3,voice,385444,3184
CANTONMENT,2026,4,callback,224,48
CANTONMENT,2026,4,voice,376732,2911
CANTONMENT,2026,5,callback,146,32
CANTONMENT,2026,5,voice,287169,2343
CENTRAL AL,2025,6,callback,12,2
CENTRAL AL,2025,6,email,7304,137
CENTRAL AL,2025,6,voice,625892,4580
CENTRAL AL,2025,7,callback,166,4
CENTRAL AL,2025,7,email,6625,186
CENTRAL AL,2025,7,voice,625190,4592
CENTRAL AL,2025,8,callback,65,6
CENTRAL AL,2025,8,email,6750,192
CENTRAL AL,2025,8,voice,560530,4735
CENTRAL AL,2025,9,callback,55,5
CENTRAL AL,2025,9,email,7450,172
CENTRAL AL,2025,9,voice,659423,5038
CENTRAL AL,2025,10,callback,190,7
CENTRAL AL,2025,10,email,10769,235
CENTRAL AL,2025,10,voice,616122,4622
CENTRAL AL,2025,11,callback,197,5
CENTRAL AL,2025,11,email,9661,155
CENTRAL AL,2025,11,voice,650523,4464
CENTRAL AL,2025,12,callback,340,11
CENTRAL AL,2025,12,email,9150,186
NORTH CA,2026,3,email,17884,100
NORTH CA,2026,3,message,142011,966
NORTH CA,2026,3,voice,2006013,11052
NORTH CA,2026,4,callback,159,2
NORTH CA,2026,4,email,25311,100
NORTH CA,2026,4,message,136838,905
NORTH CA,2026,4,voice,1871416,10313
NORTH CA,2026,5,callback,7,1
NORTH CA,2026,5,email,17215,66
NORTH CA,2026,5,message,138156,870
NORTH CA,2026,5,voice,1439795,7543
OPELIKA,2025,6,voice,305775,2126
OPELIKA,2025,7,voice,303211,2014
OPELIKA,2025,8,voice,262141,1965
OPELIKA,2025,9,callback,18,1
OPELIKA,2025,9,voice,297874,1839
OPELIKA,2025,10,callback,152,1
OPELIKA,2025,10,voice,310781,2192
OPELIKA,2025,11,voice,252160,1758
OPELIKA,2025,12,callback,201,6
OPELIKA,2025,12,voice,308680,1929
OPELIKA,2026,1,callback,77,4
OPELIKA,2026,1,voice,301902,1953
OPELIKA,2026,2,callback,148,14
OPELIKA,2026,2,voice,301786,1914
OPELIKA,2026,3,callback,69,4
OPELIKA,2026,3,voice,210145,1630
OPELIKA,2026,4,callback,220,4
OPELIKA,2026,4,voice,173620,1480
OPELIKA,2026,5,voice,177071,1537
ORLANDO,2025,6,callback,967,89
ORLANDO,2025,6,email,64369,563
ORLANDO,2025,6,message,22933,138
ORLANDO,2025,6,voice,1259389,7439
ORLANDO,2025,7,callback,353,31
ORLANDO,2025,7,email,73180,532
ORLANDO,2025,7,message,67264,320
ORLANDO,2025,7,voice,1192309,7431
ORLANDO,2025,8,callback,132,3
ORLANDO,2025,8,email,66079,509
ORLANDO,2025,8,message,71865,274
ORLANDO,2025,8,voice,1009586,6163
ORLANDO,2025,9,email,60561,429
ORLANDO,2025,9,message,80581,289
ORLANDO,2025,9,voice,1000626,6571
ORLANDO,2025,10,callback,4236,15
ORLANDO,2025,10,email,57229,438
ORLANDO,2025,10,message,134521,385
ORLANDO,2025,10,voice,1070911,6942
ORLANDO,2025,11,email,59306,353
ORLANDO,2025,11,message,127449,325
ORLANDO,2025,11,voice,890144,5345
ORLANDO,2025,12,callback,481,4
ORLANDO,2025,12,email,54056,351
ORLANDO,2025,12,message,132517,326
ORLANDO,2025,12,voice,909171,5418
ORLANDO,2026,1,callback,390,1
ORLANDO,2026,1,email,87026,370
ORLANDO,2026,1,message,179893,405
ORLANDO,2026,1,voice,971324,6132
ORLANDO,2026,2,message,160059,367
ORLANDO,2026,2,voice,992952,5939
ORLANDO,2026,3,callback,76,1
ORLANDO,2026,3,message,162934,430
ORLANDO,2026,3,voice,1102070,6700
ORLANDO,2026,4,callback,298,2
ORLANDO,2026,4,message,178260,402
ORLANDO,2026,4,voice,914343,5716
ORLANDO,2026,5,callback,121,2
ORLANDO,2026,5,message,97771,287
ORLANDO,2026,5,voice,760227,4438
PANAMA CITY,2025,6,callback,176,4
PANAMA CITY,2025,6,voice,248547,1922
PANAMA CITY,2025,7,callback,11,2
PANAMA CITY,2025,7,voice,214062,1969
PANAMA CITY,2025,8,callback,32,5
PANAMA CITY,2025,8,voice,211229,1971
PANAMA CITY,2025,9,callback,33,5
CENTRAL AL,2025,12,voice,570702,4152
CENTRAL AL,2026,1,callback,56,9
CENTRAL AL,2026,1,email,10603,199
CENTRAL AL,2026,1,voice,556166,4042
CENTRAL AL,2026,2,callback,93,6
CENTRAL AL,2026,2,email,11137,181
CENTRAL AL,2026,2,voice,549932,3962
CENTRAL AL,2026,3,callback,189,7
CENTRAL AL,2026,3,email,13341,320
CENTRAL AL,2026,3,voice,547486,4268
CENTRAL AL,2026,4,callback,374,14
CENTRAL AL,2026,4,email,14614,432
CENTRAL AL,2026,4,voice,538592,4145
CENTRAL AL,2026,5,callback,372,8
CENTRAL AL,2026,5,email,6823,203
