Market,YEAR,MONTH,Media Type,Handle Time (seconds),Interactions
North AL,2025,5,callback,92,1
North AL,2025,5,email,19341,183
North AL,2025,5,voice,569482,4620
North AL,2025,6,callback,39,5
North AL,2025,6,email,26896,249
North AL,2025,6,voice,682342,5430
North AL,2025,7,callback,20,3
North AL,2025,7,email,14440,213
North AL,2025,7,voice,688715,5307
North AL,2025,8,callback,113,3
North AL,2025,8,email,11459,233
North AL,2025,8,voice,620082,4690
North AL,2025,9,callback,15,2
North AL,2025,9,email,9785,168
North AL,2025,9,voice,565215,4340
North AL,2025,10,callback,26,4
North AL,2025,10,email,13800,237
North AL,2025,10,voice,596133,4580
North AL,2025,11,callback,130,14
North AL,2025,11,email,10392,171
North AL,2025,11,voice,626336,4522
North AL,2025,12,callback,271,25
North AL,2025,12,email,5607,103
North AL,2025,12,voice,488639,3646
North AL,2026,1,callback,174,11
North AL,2026,1,email,8263,110
North AL,2026,1,voice,419444,3134
North AL,2026,2,callback,45,6
North AL,2026,2,email,4228,104
North AL,2026,2,voice,522964,3944
North AL,2026,3,callback,446,23
North AL,2026,3,email,10016,181
North AL,2026,3,voice,657680,4730
North AL,2026,4,callback,147,8
North AL,2026,4,email,6748,193
North AL,2026,4,voice,543976,4047
North CA,2025,5,callback,609,57
North CA,2025,5,email,31997,129
North CA,2025,5,message,90313,779
North CA,2025,5,voice,2189903,13284
North CA,2025,6,callback,226,37
North CA,2025,6,email,28747,102
North CA,2025,6,message,77277,704
North CA,2025,6,voice,2185613,13472
North CA,2025,7,callback,221,26
North CA,2025,7,email,40754,133
North CA,2025,7,message,122661,727
North CA,2025,7,voice,2380153,14059
North CA,2025,8,callback,291,20
North CA,2025,8,email,23510,92
North CA,2025,8,message,162063,911
North CA,2025,8,voice,2493825,13696
North CA,2025,9,callback,9,1
North CA,2025,9,email,40910,147
North CA,2025,9,message,196407,941
North CA,2025,9,voice,2537976,13543
North CA,2025,10,callback,771,9
North CA,2025,10,email,34264,126
North CA,2025,10,message,179581,1078
North CA,2025,10,voice,2740399,14711
North CA,2025,11,email,22171,93
North CA,2025,11,message,121731,859
North CA,2025,11,voice,1872741,10479
North CA,2025,12,callback,17,1
North CA,2025,12,email,18760,88
North CA,2025,12,message,151889,1062
North CA,2025,12,voice,2088567,11228
North CA,2026,1,callback,16,2
North CA,2026,1,email,23220,124
North CA,2026,1,message,163312,931
North CA,2026,1,voice,1920881,10830
North CA,2026,2,callback,8,1
North CA,2026,2,email,28698,104
North CA,2026,2,message,162486,976
North CA,2026,2,voice,1681178,9601
North CA,2026,3,callback,993,1
North CA,2026,3,email,18627,106
North CA,2026,3,message,147503,978
North CA,2026,3,voice,2034045,11300
North CA,2026,4,callback,159,2
North CA,2026,4,email,25530,105
North CA,2026,4,message,137465,909
North CA,2026,4,voice,1892529,10510
Opelika,2025,5,callback,7,1
Opelika,2025,5,voice,355424,3054
Opelika,2025,6,voice,416942,3523
Opelika,2025,7,voice,435034,3694
Opelika,2025,8,callback,8,1
Opelika,2025,8,voice,380372,3520
Opelika,2025,9,callback,18,1
Opelika,2025,9,voice,480131,4006
Opelika,2025,10,callback,214,11
Opelika,2025,10,voice,431670,3650
Opelika,2025,11,voice,356090,2972
Opelika,2025,12,callback,439,11
Opelika,2025,12,voice,448627,3450
Opelika,2026,1,callback,151,17
Opelika,2026,1,voice,448837,3602
Opelika,2026,2,callback,213,24
Opelika,2026,2,voice,436838,3646
Opelika,2026,3,callback,128,10
Opelika,2026,3,voice,355262,3846
Opelika,2026,4,callback,318,11
Opelika,2026,4,voice,269512,2934
Orlando,2025,5,callback,280,19
Orlando,2025,5,email,54395,540
Orlando,2025,5,message,17751,110
Orlando,2025,5,voice,1138481,7411
Orlando,2025,6,callback,978,90
Orlando,2025,6,email,64521,565
Orlando,2025,6,message,23518,139
Orlando,2025,6,voice,1337646,8035
Orlando,2025,7,callback,353,31
Orlando,2025,7,email,75273,539
Orlando,2025,7,message,67264,320
Orlando,2025,7,voice,1261222,8106
Orlando,2025,8,callback,132,3
Orlando,2025,8,email,66554,512
Orlando,2025,8,message,71949,276
Orlando,2025,8,voice,1073753,6709
Orlando,2025,9,email,61375,434
Orlando,2025,9,message,80581,289
Orlando,2025,9,voice,1062549,7161
Orlando,2025,10,callback,1682,4
Orlando,2025,10,email,61359,456
Orlando,2025,10,message,134521,385
Orlando,2025,10,voice,1144165,7608
Orlando,2025,11,email,61512,358
Orlando,2025,11,message,128114,327
Orlando,2025,11,voice,949382,5873
Orlando,2025,12,callback,481,4
Orlando,2025,12,email,55587,365
Orlando,2025,12,message,132839,327
Orlando,2025,12,voice,967837,5949
Orlando,2026,1,callback,390,1
Orlando,2026,1,email,90020,387
Orlando,2026,1,message,182000,416
Orlando,2026,1,voice,1036678,6698
Orlando,2026,2,message,160059,367
Orlando,2026,2,voice,1064543,6511
Orlando,2026,3,callback,76,1
Orlando,2026,3,message,163836,432
Orlando,2026,3,voice,1168220,7265
Orlando,2026,4,callback,298,2
Orlando,2026,4,message,178260,402
Orlando,2026,4,voice,961740,6118
Panama City,2025,5,callback,7,1
Panama City,2025,5,voice,269031,2140
Panama City,2025,6,callback,176,4
Panama City,2025,6,voice,255630,2131
Panama City,2025,7,callback,17,3
Panama City,2025,7,voice,226917,2324
Panama City,2025,8,callback,32,5
Panama City,2025,8,voice,225254,2330
Panama City,2025,9,callback,38,6
Panama City,2025,9,voice,219139,2180
Panama City,2025,10,callback,204,9
Panama City,2025,10,voice,242979,2386
Panama City,2025,11,callback,22,4
Panama City,2025,11,voice,176658,1821
Panama City,2025,12,callback,19,3
Panama City,2025,12,voice,197939,2018
Panama City,2026,1,callback,21,3
Panama City,2026,1,voice,197433,2008
Panama City,2026,2,callback,38,6
Panama City,2026,2,voice,221549,2226
Panama City,2026,3,callback,16,3
Panama City,2026,3,voice,237979,2492
Panama City,2026,4,callback,37,6
Panama City,2026,4,voice,189388,2065
Reno,2025,5,voice,265706,1842
Reno,2025,6,voice,250945,1936
Reno,2025,7,voice,238012,1971
Reno,2025,8,voice,219883,2049
Reno,2025,9,voice,216173,1964
Reno,2025,10,voice,232871,2193
Reno,2025,11,voice,207551,1815
